explainedPeaks,score,neutralMass,SMILES,InChIKey,InChIKey2,InChIKey1,InChI,identifier,fragScore,neutral_formula,compoundName,pubMedReferences,numberPatents,relatedCIDs,compoundName2,agroChemInfo,bioPathway,drugMedicInfo,foodRelated,pharmacoInfo,safetyInfo,toxicityInfo,disorderDisease,identification,knownUse,annoTypeCount,metFusionScore,individualMoNAScore,XLogP,database,UID,formulaScore
10,3.147690595,138.0680796,COCC1=CC=C(C=C1)O,AHXXIALEMINDAW-UHFFFAOYSA-N,UHFFFAOYSA,AHXXIALEMINDAW,"InChI=1S/C8H10O2/c1-10-6-7-2-4-8(9)5-3-7/h2-5,9H,6H2,1H3",79310,210.2793409,C8H10O2,4-(methoxymethyl)phenol,5,574,79310,4-(Methoxymethyl)phenol,0,0,0,2,0,2,0,0,0,3,3,2.583606773,0,0.8,pubchemlite,AHXXIALEMINDAW,1
10,3.121954881,138.0680796,CC1=C(C(=CC=C1)OC)O,WBHAUHHMPXBZCQ-UHFFFAOYSA-N,UHFFFAOYSA,WBHAUHHMPXBZCQ,"InChI=1S/C8H10O2/c1-6-4-3-5-7(10-2)8(6)9/h3-5,9H,1-2H3",76173,168.3646968,C8H10O2,2-methoxy-6-methylphenol,4,60197,76173,2-Methoxy-6-methylphenol,0,0,0,0,0,2,0,0,0,2,2,2.418036004,0,2.1,pubchemlite,WBHAUHHMPXBZCQ,1
9,3.114939515,138.0680796,C1=CC=C(C=C1)C(CO)O,PWMWNFMRSKOCEY-UHFFFAOYSA-N,UHFFFAOYSA,PWMWNFMRSKOCEY,"InChI=1S/C8H10O2/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8-10H,6H2",7149,203.2726891,C8H10O2,"1-phenylethane-1,2-diol",107,10242,7149 2724621,"1-Phenyl-1,2-ethanediol",0,0,0,0,0,2,2,0,0,3,3,2.339102239,0,0.4,pubchemlite,PWMWNFMRSKOCEY,1
10,3.073792754,138.0680796,CC(C1=CC=C(C=C1)O)O,PMRFBLQVGJNGLU-UHFFFAOYSA-N,UHFFFAOYSA,PMRFBLQVGJNGLU,"InChI=1S/C8H10O2/c1-6(9)7-2-4-8(10)5-3-7/h2-6,9-10H,1H3",102803,210.5777749,C8H10O2,4-(1-hydroxyethyl)phenol,2,1481,102803 10866400,4-(1-hydroxyethyl)phenol,0,1,0,0,2,0,0,0,0,4,3,2.369532195,0,0.2,pubchemlite,PMRFBLQVGJNGLU,1
10,3.039312682,138.0680796,C1=CC=C(C(=C1)CO)CO,XMUZQOKACOLCSS-UHFFFAOYSA-N,UHFFFAOYSA,XMUZQOKACOLCSS,"InChI=1S/C8H10O2/c9-5-7-3-1-2-4-8(7)6-10/h1-4,9-10H,5-6H2",69153,181.9112221,C8H10O2,[2-(hydroxymethyl)phenyl]methanol,2,9496,69153,"1,2-Benzenedimethanol",2,0,0,0,2,2,0,0,0,3,4,2.219950436,0,0.2,pubchemlite,XMUZQOKACOLCSS,1
9,3.02118499,138.0680796,CCOC1=CC=CC(=C1)O,VBIKLMJHBGFTPV-UHFFFAOYSA-N,UHFFFAOYSA,VBIKLMJHBGFTPV,"InChI=1S/C8H10O2/c1-2-10-8-5-3-4-7(9)6-8/h3-6,9H,2H2,1H3",69306,203.7977599,C8H10O2,3-ethoxyphenol,2,3607,69306,3-Ethoxyphenol,0,0,0,0,0,2,0,0,0,2,2,2.54585631,0,2,pubchemlite,VBIKLMJHBGFTPV,1
10,3.020058003,138.0680796,C1=CC=C(C(=C1)CCO)O,ABFCOJLLBHXNOU-UHFFFAOYSA-N,UHFFFAOYSA,ABFCOJLLBHXNOU,"InChI=1S/C8H10O2/c9-6-5-7-3-1-2-4-8(7)10/h1-4,9-10H,5-6H2",82200,211.9979831,C8H10O2,2-(2-hydroxyethyl)phenol,38,1551,82200,2-Hydroxyphenethyl alcohol,0,0,0,0,0,2,0,0,0,0,1,2.714535463,0,1.2,pubchemlite,ABFCOJLLBHXNOU,1
10,3.001634719,138.0680796,CC1=CC(=CC(=C1)OC)O,NOTCZLKDULMKBR-UHFFFAOYSA-N,UHFFFAOYSA,NOTCZLKDULMKBR,"InChI=1S/C8H10O2/c1-6-3-7(9)5-8(4-6)10-2/h3-5,9H,1-2H3",76674,167.5061814,C8H10O2,3-methoxy-5-methylphenol,4,890,76674,3-Methoxy-5-methylphenol,0,1,0,0,2,2,0,0,0,3,4,2.404190122,0,1.9,pubchemlite,NOTCZLKDULMKBR,1
10,2.991296166,138.0680796,CC1=CC(=C(O1)C)C(=O)C,KBSVBCHYXYXDAG-UHFFFAOYSA-N,UHFFFAOYSA,KBSVBCHYXYXDAG,"InChI=1S/C8H10O2/c1-5-4-8(6(2)9)7(3)10-5/h4H,1-3H3",61527,205.0042715,C8H10O2,"1-(2,5-dimethylfuran-3-yl)ethanone",2,441,61527,"3-Acetyl-2,5-dimethylfuran",0,0,0,4,2,2,0,0,0,2,4,1.953086949,0,1.5,pubchemlite,KBSVBCHYXYXDAG,1
10,2.988718739,138.0680796,CC1=CC(=CC(=C1O)C)O,SGWZVZZVXOJRAQ-UHFFFAOYSA-N,UHFFFAOYSA,SGWZVZZVXOJRAQ,"InChI=1S/C8H10O2/c1-5-3-7(9)4-6(2)8(5)10/h3-4,9-10H,1-2H3",69560,156.8210188,C8H10O2,"2,6-dimethylbenzene-1,4-diol",10,4444,69560,"2,6-Dimethylhydroquinone",0,0,0,0,2,2,2,0,0,2,4,2.435580404,0,1,pubchemlite,SGWZVZZVXOJRAQ,1
10,2.986957137,138.0680796,C1=CC(=CC(=C1)O)CCO,AMQIPHZFLIDOCB-UHFFFAOYSA-N,UHFFFAOYSA,AMQIPHZFLIDOCB,"InChI=1S/C8H10O2/c9-5-4-7-2-1-3-8(10)6-7/h1-3,6,9-10H,4-5H2",83404,210.5929301,C8H10O2,3-(2-hydroxyethyl)phenol,3,1025,83404,3-(2-Hydroxyethyl)phenol,0,0,0,0,0,2,0,0,0,0,1,2.682085794,0,1.2,pubchemlite,AMQIPHZFLIDOCB,1
10,2.953408026,138.0680796,COC1=CC=CC=C1CO,WYLYBQSHRJMURN-UHFFFAOYSA-N,UHFFFAOYSA,WYLYBQSHRJMURN,"InChI=1S/C8H10O2/c1-10-8-5-3-2-4-7(8)6-9/h2-5,9H,6H2,1H3",69154,188.7850918,C8H10O2,(2-methoxyphenyl)methanol,1,3158,69154,2-Methoxybenzyl alcohol,0,0,0,0,0,2,0,0,0,2,2,2.54194321,0,1.1,pubchemlite,WYLYBQSHRJMURN,1
10,2.946434415,138.0680796,COCC1=CC=CC=C1O,SSICPQZWCDZSQA-UHFFFAOYSA-N,UHFFFAOYSA,SSICPQZWCDZSQA,"InChI=1S/C8H10O2/c1-10-6-7-4-2-3-5-8(7)9/h2-5,9H,6H2,1H3",182079,211.6995491,C8H10O2,2-(methoxymethyl)phenol,2,1071,182079,2-(Methoxymethyl)phenol,0,0,0,0,0,2,0,0,0,0,1,2.559663063,0,0.7,pubchemlite,SSICPQZWCDZSQA,1
10,2.944443198,138.0680796,COCC1=CC(=CC=C1)O,AAVSHQOVBKPECT-UHFFFAOYSA-N,UHFFFAOYSA,AAVSHQOVBKPECT,"InChI=1S/C8H10O2/c1-10-6-7-3-2-4-8(9)5-7/h2-5,9H,6H2,1H3",14090386,210.2793409,C8H10O2,3-(methoxymethyl)phenol,0,75,14090386,3-(methoxymethyl)phenol,0,0,0,0,0,2,0,0,0,0,1,2.586727859,0,1,pubchemlite,AAVSHQOVBKPECT,1
9,2.934519239,138.0680796,C1C2CC(C1C=C2)C(=O)O,FYGUSUBEMUKACF-UHFFFAOYSA-N,UHFFFAOYSA,FYGUSUBEMUKACF,"InChI=1S/C8H10O2/c9-8(10)7-4-5-1-2-6(7)3-5/h1-2,5-7H,3-4H2,(H,9,10)",78949,182.8694882,C8H10O2,bicyclo[2.2.1]hept-5-ene-2-carboxylic acid,3,10213,78949 721733 1416297 12268635,120-74-1,0,0,0,0,0,2,2,0,0,2,3,2.184725414,0,1.2,pubchemlite,FYGUSUBEMUKACF,1
10,2.9186277,138.0680796,C1=CC(=CC=C1CO)CO,BWVAOONFBYYRHY-UHFFFAOYSA-N,UHFFFAOYSA,BWVAOONFBYYRHY,"InChI=1S/C8H10O2/c9-5-7-1-2-8(6-10)4-3-7/h1-4,9-10H,5-6H2",11506,180.491014,C8H10O2,[4-(hydroxymethyl)phenyl]methanol,9,28306,11506,"1,4-BENZENEDIMETHANOL",0,0,0,0,0,2,0,0,0,2,2,2.17658771,0,0.3,pubchemlite,BWVAOONFBYYRHY,1
10,2.900667547,138.0680796,CC1=CC(=C(O1)C(=O)C)C,SQWQZVDNBPEROH-UHFFFAOYSA-N,UHFFFAOYSA,SQWQZVDNBPEROH,"InChI=1S/C8H10O2/c1-5-4-6(2)10-8(5)7(3)9/h4H,1-3H3",579675,206.2103761,C8H10O2,"1-(3,5-dimethylfuran-2-yl)ethanone",0,46,579675,"1-(3,5-dimethylfuran-2-yl)ethanone",0,0,0,4,2,0,0,0,0,2,3,1.972212298,0,1.8,pubchemlite,SQWQZVDNBPEROH,1
10,2.899781369,138.0680796,C1=CC=C(C=C1)COCO,PETXWIMJICIQTQ-UHFFFAOYSA-N,UHFFFAOYSA,PETXWIMJICIQTQ,"InChI=1S/C8H10O2/c9-7-10-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",84520,207.7479793,C8H10O2,phenylmethoxymethanol,5,3070,84520,(Benzyloxy)methanol,0,0,0,0,0,2,0,0,0,3,2,2.175625831,0,1.3,pubchemlite,PETXWIMJICIQTQ,1
10,2.869029573,138.0680796,CC1=CC(=CC(=C1)O)CO,SDJQWNMVKBEBSJ-UHFFFAOYSA-N,UHFFFAOYSA,SDJQWNMVKBEBSJ,"InChI=1S/C8H10O2/c1-6-2-7(5-9)4-8(10)3-6/h2-4,9-10H,5H2,1H3",18008069,168.2972292,C8H10O2,3-(hydroxymethyl)-5-methylphenol,0,33,18008069,3-(Hydroxymethyl)-5-methylphenol,0,1,0,0,2,0,0,0,0,0,2,2.594113653,0,1.1,pubchemlite,SDJQWNMVKBEBSJ,1
10,2.866084597,138.0680796,CC(C1=CC(=CC=C1)O)O,COJRWHSKVYUZHQ-UHFFFAOYSA-N,UHFFFAOYSA,COJRWHSKVYUZHQ,"InChI=1S/C8H10O2/c1-6(9)7-3-2-4-8(10)5-7/h2-6,9-10H,1H3",13542886,210.5777749,C8H10O2,3-(1-hydroxyethyl)phenol,0,149,13542886,1-(3-HYDROXYPHENYL)ETHANOL,0,0,0,0,0,2,0,0,0,0,1,2.369532195,0,0.5,pubchemlite,COJRWHSKVYUZHQ,1
10,2.863502852,138.0680796,CC1=C(C=C(C=C1)CO)O,XGYCFBRLHVWRLV-UHFFFAOYSA-N,UHFFFAOYSA,XGYCFBRLHVWRLV,"InChI=1S/C8H10O2/c1-6-2-3-7(5-9)4-8(6)10/h2-4,9-10H,5H2,1H3",11521085,168.5836764,C8H10O2,5-(hydroxymethyl)-2-methylphenol,0,92,11521085,5-(hydroxymethyl)-2-methylphenol,0,1,0,0,2,0,0,0,0,0,2,2.574974525,0,1.1,pubchemlite,XGYCFBRLHVWRLV,1
10,2.862830133,138.0680796,CC1=C(C=CC(=C1)CO)O,HSKGHUJMBLYPDO-UHFFFAOYSA-N,UHFFFAOYSA,HSKGHUJMBLYPDO,"InChI=1S/C8H10O2/c1-6-4-7(5-9)2-3-8(6)10/h2-4,9-10H,5H2,1H3",14251856,167.5228301,C8H10O2,4-(hydroxymethyl)-2-methylphenol,1,146,14251856,4-(Hydroxymethyl)-2-methylphenol,0,1,0,0,2,0,0,0,0,0,2,2.583618075,0,1,pubchemlite,HSKGHUJMBLYPDO,1
10,2.851266107,138.0680796,COC1=CC=CC(=C1)CO,IIGNZLVHOZEOPV-UHFFFAOYSA-N,UHFFFAOYSA,IIGNZLVHOZEOPV,"InChI=1S/C8H10O2/c1-10-8-4-2-3-7(5-8)6-9/h2-5,9H,6H2,1H3",81437,187.3648837,C8H10O2,(3-methoxyphenyl)methanol,2,2954,81437,3-Methoxybenzyl alcohol,0,0,0,0,0,2,0,0,0,0,1,2.554412016,0,1.2,pubchemlite,IIGNZLVHOZEOPV,1
