explainedPeaks,score,neutralMass,SMILES,InChIKey,InChIKey2,InChIKey1,InChI,identifier,fragScore,neutral_formula,compoundName,pubMedReferences,numberPatents,relatedCIDs,compoundName2,agroChemInfo,bioPathway,drugMedicInfo,foodRelated,pharmacoInfo,safetyInfo,toxicityInfo,disorderDisease,identification,knownUse,annoTypeCount,metFusionScore,individualMoNAScore,XLogP,database,UID,formulaScore
10,2.742812997,138.0680796,CCC1=C(C(=CC=C1)O)O,UUCQGNWZASKXNN-UHFFFAOYSA-N,UHFFFAOYSA,UUCQGNWZASKXNN,"InChI=1S/C8H10O2/c1-2-6-4-3-5-7(9)8(6)10/h3-5,9-10H,2H2,1H3",70278,172.590925,C8H10O2,"3-ethylbenzene-1,2-diol",4,868,70278,"3-ethylbenzene-1,2-diol",0,0,0,0,3,0,0,0,0,0,1,2.457789952,0,2,pubchemlite,UUCQGNWZASKXNN,1
9,2.736689127,138.0680796,C/C(=C\\C=C\\O)/C=C/C=O,TYQZWSFEJJSSQR-YUHMVAQCSA-N,YUHMVAQCSA,TYQZWSFEJJSSQR,"InChI=1S/C8H10O2/c1-8(4-2-6-9)5-3-7-10/h2-7,9H,1H3/b5-3+,6-2+,8-4+",70678836,227.9432562,C8H10O2,"(2E,4E,6E)-7-hydroxy-4-methylhepta-2,4,6-trienal",1,0,70678836,"(2E,4E,6E)-7-hydroxy-4-methylhepta-2,4,6-trienal",0,1,0,0,2,0,0,0,0,0,2,1.548222212,0,1.5,pubchemlite,TYQZWSFEJJSSQR,1
8,2.722678771,138.0680796,C1CC2(CC1C=C2)C(=O)O,LMJVDYDHTWAXDL-UHFFFAOYSA-N,UHFFFAOYSA,LMJVDYDHTWAXDL,"InChI=1S/C8H10O2/c9-7(10)8-3-1-6(5-8)2-4-8/h1,3,6H,2,4-5H2,(H,9,10)",17851595,170.893258,C8H10O2,bicyclo[2.2.1]hept-2-ene-1-carboxylic acid,0,837,17851595,norbornenecarboxylic,0,0,0,0,0,2,0,0,0,0,1,2.426962461,0,1.3,pubchemlite,LMJVDYDHTWAXDL,1
10,2.718995718,138.0680796,CC1=CCC=CC1C(=O)O,GYUSHSKDGRZQOB-UHFFFAOYSA-N,UHFFFAOYSA,GYUSHSKDGRZQOB,"InChI=1S/C8H10O2/c1-6-4-2-3-5-7(6)8(9)10/h3-5,7H,2H2,1H3,(H,9,10)",564581,198.7131303,C8H10O2,"2-methylcyclohexa-2,5-diene-1-carboxylic acid",2,108,564581,"1,4-Dihydro-2-methylbenzoic acid",0,0,0,0,0,2,0,0,0,0,1,2.105399355,0,1.3,pubchemlite,GYUSHSKDGRZQOB,1
9,2.712988733,138.0680796,C#CCC1(CCC1)C(=O)O,SMCGRXBUOCSXTH-UHFFFAOYSA-N,UHFFFAOYSA,SMCGRXBUOCSXTH,"InChI=1S/C8H10O2/c1-2-4-8(7(9)10)5-3-6-8/h1H,3-6H2,(H,9,10)",71683266,193.6716187,C8H10O2,1-prop-2-ynylcyclobutane-1-carboxylic acid,0,0,71683266,1-(prop-2-yn-1-yl)cyclobutane-1-carboxylic acid,0,0,0,0,0,2,0,0,0,0,1,2.150557826,0,1.2,pubchemlite,SMCGRXBUOCSXTH,1
10,2.703028622,138.0680796,CC1=C(C=CC(=C1)OC)O,PKDVWOVKDPEBQF-UHFFFAOYSA-N,UHFFFAOYSA,PKDVWOVKDPEBQF,"InChI=1S/C8H10O2/c1-6-5-7(10-2)3-4-8(6)9/h3-5,9H,1-2H3",12483497,166.6972766,C8H10O2,4-methoxy-2-methylphenol,2,581,12483497,4-methoxy-2-methylphenol,0,0,0,0,0,2,0,0,0,0,1,2.423614087,0,1.3,pubchemlite,PKDVWOVKDPEBQF,1
10,2.698524926,138.0680796,CC1=C(C=C(C=C1)O)OC,SOYWOKSOKVRZRZ-UHFFFAOYSA-N,UHFFFAOYSA,SOYWOKSOKVRZRZ,"InChI=1S/C8H10O2/c1-6-3-4-7(9)5-8(6)10-2/h3-5,9H,1-2H3",15103015,167.9393953,C8H10O2,3-methoxy-4-methylphenol,0,219,15103015,3-methoxy-4-methylphenol,0,0,0,0,0,2,0,0,0,0,1,2.404190122,0,2.4,pubchemlite,SOYWOKSOKVRZRZ,1
9,2.694443677,138.0680796,CCOC(=O)C#CC1CC1,YQKWSKCBPAMHEJ-UHFFFAOYSA-N,UHFFFAOYSA,YQKWSKCBPAMHEJ,"InChI=1S/C8H10O2/c1-2-10-8(9)6-5-7-3-4-7/h7H,2-4H2,1H3",639964,204.0378961,C8H10O2,ethyl 3-cyclopropylprop-2-ynoate,0,102,639964,ethyl 3-cyclopropylprop-2-ynoate,0,0,0,0,0,2,0,0,0,0,1,1.979510496,0,2,pubchemlite,YQKWSKCBPAMHEJ,1
10,2.690829296,138.0680796,CC1=COC(=C1C(=O)C)C,LNBHNHANEHGMAQ-UHFFFAOYSA-N,UHFFFAOYSA,LNBHNHANEHGMAQ,"InChI=1S/C8H10O2/c1-5-4-10-7(3)8(5)6(2)9/h4H,1-3H3",579676,205.5489022,C8H10O2,"1-(2,4-dimethylfuran-3-yl)ethanone",0,48,579676,"3-ACETYL-2,4-DIMETHYLFURAN",0,0,0,0,0,2,0,0,0,0,1,1.953086949,0,1.4,pubchemlite,LNBHNHANEHGMAQ,1
9,2.687386089,138.0680796,C1CC2CC1C=C2C(=O)O,OMCJAQLEGLBYJY-UHFFFAOYSA-N,UHFFFAOYSA,OMCJAQLEGLBYJY,"InChI=1S/C8H10O2/c9-8(10)7-4-5-1-2-6(7)3-5/h4-6H,1-3H2,(H,9,10)",281894,168.3508488,C8H10O2,bicyclo[2.2.1]hept-2-ene-2-carboxylic acid,1,1083,281894,Bicyclo[2.2.1]hept-2-ene-2-carboxylic acid,0,0,0,0,0,2,0,0,0,0,1,2.355934297,0,1.6,pubchemlite,OMCJAQLEGLBYJY,1
